id;title;authors;year;venue;search_strings
80;SecureFalcon: Are We There Yet in Automated Software Vulnerability Detection With LLMs?;"Ferrag, Mohamed Amine; Battah, Ammar; Tihanyi, Norbert; Jain, Ridhi; Maimuţ, Diana; Alwahedi, Fatima; Lestable, Thierry; Thandi, Narinderjit Singh; Mechri, Abdechakour; Debbah, Merouane; Cordeiro, Lucas C.";2025;IEEE Transactions on Software Engineering;String B
81;Leveraging Vulnerability Discovery Strategies for Secure Development of Supervised Learning Projects - ProQuest;;;;String B
82;Machine Learning Driven Guidance for Software Maintenance: Enhancing Code Management and Features - ProQuest;;;;String B
83;Foundation Models for Newcomers in Open-Source Software: A Multivocal Literature Review;"Xiao, Tao; Kondo, Masanari; Treude, Christoph; Kamei, Yasutaka";2026;;String B
84;Automated Fine-grained Requirements-to-Code Traceability Link Recovery;"Fandino, Florez; Manuel, Juan";2022;;String B
85;A decade of code comment quality assessment: A systematic literature review;"Rani, Pooja; Blasi, Arianna; Stulova, Nataliia; Panichella, Sebastiano; Gorla, Alessandra; Nierstrasz, Oscar";2023;Journal of Systems and Software;String B
86;Identifying Emergent Leadership in OSS Projects Based on Communication Styles;"Huang, Yuekai; Yang, Ye; Wang, Junjie; Zheng, Wei; Wang, Qing";2022;;String B
87;Identifying Emergent Leadership in Open Source Software Projects Based on Communication Styles;"Huang, Yuekai; Yang, Ye; Wang, Junjie; Zheng, Wei; Wang, Qing";2023;2023 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER);String B
88;Software Maintenance At Commit-Time;Nayrolles, Mathieu;2018;;String B
89;How to Communicate when Submitting Patches: An Empirical Study of the Linux Kernel;"Tan, Xin; Zhou, Minghui";2019;Proceedings of the ACM on Human-Computer Interaction;String B
90;How programmers find online learning resources;"Arya, Deeksha M.; Guo, Jin L. C.; Robillard, Martin P.";2022;Empirical Software Engineering;String B
91;Evaluating Language Model Applications for Identifying Solution-Related Content in Issue Report Discussions;"Saha, Antu; Sun, Mehedi; Chaparro, Oscar";2026;;String B
92;Characterizing Logs in Vulnerability Reports: In-Depth Analysis and Security Implications;"Shu, Yao; Zheng, Lianyu; Chen, Jinfu; Xuan, Jifeng";2025;2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER);String B
93;RPerf: Mining user reviews using topic modeling to assist performance testing: An industrial experience report;"Wang, Zehao; Liu, Wei; Chen, Jinfu; Chen, Tse-Hsun (Peter)";2025;Journal of Systems and Software;String B
94;Triage in Software Engineering: A Systematic Review of Research and Practice;"Zhao, Yongxin; Zhang, Shenglin; Wu, Yujia; Sun, Yuxin; Sun, Yongqian; Pei, Dan; Bansal, Chetan; Ma, Minghua";2025;;String B
95;DarkBench: Benchmarking Dark Patterns in Large Language Models;"Kran, Esben; Nguyen, Hieu Minh; Kundu, Akash; Jawhar, Sami; Park, Jinsuk; Jurewicz, Mateusz";2025;International Conference on Learning Representations;String B
96;Automating Intention Mining;"Huang, Qiao; Xia, Xin; Lo, David; Murphy, Gail C.";2020;IEEE Transactions on Software Engineering;String B
97;Evidence-driven testing and debugging of software systems;Soremekun, Ezekiel Olamide;2021;;String B
98;Supporting a developer's discovery of task-relevant information;de Sousa Marques, Arthur;2022;;String B
99;Crash Report Enhancement with Large Language Models: An Empirical Study;"Fahim, S. M. Farah Al; Rafi, Md Nakhla; Ma, Zeyang; Kim, Dong Jae; Tse-Hsun; Chen";2025;;String B
100;ViBR: Automated Bug Replay from Video-based Reports using Vision-Language Models;"Feng, Sidong; Wang, Dingbang; Tomic, Nikola; Yu, Tingting; Aleti, Aldeida; Chen, Chunyang";2026;;String B
101;Predicting the Change Impact of Resolving Defects by Leveraging the Topics of Issue Reports in Open Source Software Systems;"Assi, Maram; Hassan, Safwat; Georgiou, Stefanos; Zou, Ying";2023;ACM Transactions on Software Engineering and Methodology;String B
102;Towards Better Requirements from the Crowd: Developer Engagement with Feature Requests in Open Source Software;"KC, Pragyan; Ghandiparsi, Rambod; Herron, Thomas; Heaps, John; Hosseini, Mitra Bokaei";2025;;String B
103;Self-supervised retinal thickness prediction enables deep learning from unlabelled data to boost classification of diabetic retinopathy;"Holmberg, Olle G.; Köhler, Niklas D.; Martins, Thiago; Siedlecki, Jakob; Herold, Tina; Keidel, Leonie; Asani, Ben; Schiefelbein, Johannes; Priglinger, Siegfried; Kortuem, Karsten U.; Theis, Fabian J.";2020;Nature Machine Intelligence;String B
104;Cross-lingual Unified Medical Language System entity linking in online health communities | Journal of the American Medical Informatics Association | Oxford Academic;;;;String B
105;Exploiting Natural Language Structures in Software Informal Documentation;"Di Sorbo, Andrea; Panichella, Sebastiano; Visaggio, Corrado A.; Penta, Massimiliano Di; Canfora, Gerardo; Gall, Harald C.";2021;IEEE Transactions on Software Engineering;String B
106;Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization;"De Vito, Gabriele; Starace, Luigi Libero Lucio; Palomba, Fabio; Di Martino, Sergio; Ferrucci, Filomena";2026;ACM Transactions on Software Engineering and Methodology;String B
107;A Framework for Using LLMs for Repository Mining Studies in Empirical Software Engineering;"De Martino, Vincenzo; Castaño, Joel; Palomba, Fabio; Franch, Xavier; Martínez-Fernández, Silverio";2025;2025 IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering (WSESE);String B
108;Understanding Legal Professionals' Practices and Expectations in Data Breach Incident Reporting;"Gumusel, Ece; Xiao, Yue; Qin, Yue; Qin, Jiaxin; Liao, Xiaojing";2024;Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security;String B
109;RCEGen: A Generative Approach for Automated Root Cause Analysis Using Large Language Models (LLMs);"Mollik, Rubel Hassan; Datta, Arup; Mollah, Anamul Haque; Aljedaani, Wajdi";2025;Software;String B
110;A Hybrid LTR-based System via Social Context Embedding for Recommending Solutions of Software Bugs in Developer Communities;"Harrag, Fouzi; Khemliche, Mokdad";2026;;String B
111;How Safe Are AI-Generated Patches? A Large-scale Study on Security Risks in LLM and Agentic Automated Program Repair on SWE-bench;"Sajadi, Amirali; Damevski, Kostadin; Chatterjee, Preetha";2025;;String B
112;SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?;"Yang, John; Jimenez, Carlos E.; Zhang, Alex L.; Lieret, Kilian; Yang, Joyce; Wu, Xindi; Press, Ori; Muennighoff, Niklas; Synnaeve, Gabriel; Narasimhan, Karthik R.; Yang, Diyi; Wang, Sida I.; Press, Ofir";2024;;String B
113;FeedAIde: Guiding App Users to Submit Rich Feedback Reports by Asking Context-Aware Follow-Up Questions;"Pourasad, Ali Ebrahimi; Saghiri, Meyssam; Maalej, Walid";2026;;String B
114;Investigating the bugs in reinforcement learning programs: Insights from Stack Overflow and GitHub;"Song, Jiayin; Li, Yike; Tian, Yunzhe; Ma, Haoxuan; Li, Honglei; Zuo, Jie; Liu, Jiqiang; Niu, Wenjia";2025;Automated Software Engineering;String B
115;Delving into Commit-Issue Correlation to Enhance Commit Message Generation Models;"Wang, Liran; Tang, Xunzhu; He, Yichen; Ren, Changyu; Shi, Shuhua; Yan, Chaoran; Li, Zhoujun";2023;2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE);String B
116;From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC;"Schwedt, Stefan; Ströder, Thomas";2025;2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE);String B
117;Characterizing Usability Issue Discussions in Open Source Software Projects;"Sanei, Arghavan; Cheng, Jinghui";2024;Proceedings of the ACM on Human-Computer Interaction;String B
118;Is Your Automated Software Engineer Trustworthy?;"Mathews, Noble Saji; Nagappan, Meiyappan";2025;;String B
